                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.36086,                0.21091,                0.79732,                0.99846,                      1,                  0.995,                0.88469,                0.34648,                0.18116,                0.76915,             0.00084988,             0.00084988,             0.00084988
                    100,                 0.3576,                 0.2093,                0.79416,                0.99855,                      1,                  0.995,                0.89397,                0.31878,                0.17308,                0.76539,             0.00084575,             0.00084575,             0.00084575
                    101,                0.36377,                0.20892,                0.80079,                0.99857,                      1,                  0.995,                0.90059,                0.32105,                0.17378,                0.76814,             0.00084162,             0.00084162,             0.00084162
                    102,                0.35059,                 0.2068,                 0.7984,                0.99852,                      1,                  0.995,                 0.8883,                 0.3328,                0.16925,                0.76668,              0.0008375,              0.0008375,              0.0008375
                    103,                0.35236,                0.20947,                0.79993,                0.99852,                      1,                  0.995,                0.90426,                0.31198,                0.16987,                0.76478,             0.00083337,             0.00083337,             0.00083337
                    104,                0.34786,                 0.2059,                0.79556,                0.99867,                      1,                  0.995,                0.87861,                0.34418,                0.18684,                0.76861,             0.00082925,             0.00082925,             0.00082925
                    105,                0.35055,                 0.2068,                 0.7917,                0.99913,                      1,                  0.995,                0.88999,                0.33495,                0.17884,                 0.7692,             0.00082513,             0.00082513,             0.00082513
                    106,                0.34411,                0.20326,                0.80055,                0.99915,                      1,                  0.995,                0.88972,                0.33888,                0.17818,                0.76643,               0.000821,               0.000821,               0.000821
                    107,                0.34641,                0.20635,                0.79526,                0.99867,                      1,                  0.995,                0.89569,                0.33465,                0.18869,                0.76777,             0.00081688,             0.00081688,             0.00081688
                    108,                0.35601,                0.21103,                0.79917,                0.99878,                      1,                  0.995,                0.89718,                0.32844,                0.17498,                0.76546,             0.00081275,             0.00081275,             0.00081275
                    109,                0.35351,                0.21043,                0.80119,                 0.9986,                      1,                  0.995,                0.88251,                0.34618,                0.17771,                0.77002,             0.00080863,             0.00080863,             0.00080863
                    110,                0.35074,                0.20684,                0.80273,                0.99928,                      1,                  0.995,                0.88075,                0.33653,                0.17877,                0.76801,              0.0008045,              0.0008045,              0.0008045
                    111,                0.36103,                0.21369,                 0.7998,                0.99937,                      1,                  0.995,                0.89777,                0.32327,                0.17119,                0.76862,             0.00080038,             0.00080038,             0.00080038
                    112,                0.35388,                0.20703,                0.79823,                0.99968,                      1,                  0.995,                0.88521,                0.33736,                0.18813,                0.76544,             0.00079625,             0.00079625,             0.00079625
                    113,                0.35033,                  0.204,                 0.8003,                0.99875,                      1,                  0.995,                0.90088,                0.32313,                0.17515,                0.76691,             0.00079213,             0.00079213,             0.00079213
                    114,                0.34968,                0.20318,                0.79853,                0.99851,                      1,                  0.995,                0.88401,                0.33775,                0.17068,                0.76734,               0.000788,               0.000788,               0.000788
                    115,                0.35332,                0.20178,                0.79122,                0.99971,                      1,                  0.995,                 0.9033,                 0.3209,                0.17603,                0.76517,             0.00078387,             0.00078387,             0.00078387
                    116,                0.34748,                0.20269,                 0.7989,                0.99973,                      1,                  0.995,                0.89325,                0.33943,                0.17455,                0.76757,             0.00077975,             0.00077975,             0.00077975
                    117,                0.35159,                 0.2067,                 0.7968,                0.99894,                      1,                  0.995,                0.90675,                0.33092,                0.18001,                0.76791,             0.00077563,             0.00077563,             0.00077563
